# node A = ghcr.io/bsv-blockchain/teranode:latest (upstream main, RPC version 1.3.0), regtest, run 20260917-054807-freeze-skew-rpc-2
# A froze c6663f74…:0 over RPC at 05:48:3x; B (unaware) mined block 107 = 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe spending it at 05:48:41.
# --- first validation attempt (rejected, no BLOCK_INVALID verdict published) ---
2026-09-17T05:48:58Z | INFO  | blockvalidation/Server.go:896    | bval  | [consumerMessageHandler] Processing block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe from peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL at http://10.190.0.13:8090/api/v1
2026-09-17T05:48:58Z | INFO  | blockvalidation/Server.go:812    | bval  | [Init] Worker 2 received block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe from blockFoundCh, processing
2026-09-17T05:48:58Z | INFO  | blockvalidation/Server.go:2915   | bval  | [addBlockToPriorityQueue] Added block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe with priority 0 at height 107
2026-09-17T05:48:58Z | INFO  | blockvalidation/Server.go:1833   | bval  | [processBlockFound][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validate block from http://10.190.0.13:8090/api/v1
2026-09-17T05:48:58Z | INFO  | BlockValidation.go:1607          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.13:8090/api/v1
2026-09-17T05:48:58Z | INFO  | BlockValidation.go:1782          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] GetBlockHeaders
2026-09-17T05:48:58Z | INFO  | BlockValidation.go:1902          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating 1 subtrees
2026-09-17T05:48:58Z | INFO  | check_block_subtrees.go:404      | stval | [CheckBlockSubtrees] called for block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe at height 107
2026-09-17T05:48:58Z | INFO  | check_block_subtrees.go:509      | stval | [CheckBlockSubtrees] Found 1 missing subtrees for block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe, proceeding with validation
2026-09-17T05:48:58Z | DEBUG | check_block_subtrees.go:1383     | stval | [processTransactionsInLevels] Failed to validate transaction d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb: PROCESSING (4): [blessMissingTransaction][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe/0000000000000000000000000000000000000000000000000000000000000000][d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb] failed to validate transaction -> PROCESSING (4): [Validate][d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb] error spending utxos -> PROCESSING (4): validator: UTXO Store spend and create failed for d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb -> UTXO_ERROR (79): error in sql spend (batched mode) - errors -> UTXO_FROZEN (72): [Spend] utxo is frozen for c6663f74f0398f5fa304853f35d9b1e6ebf5607eb9ba693738915ce2ca050671:0
2026-09-17T05:48:58Z | ERROR | check_block_subtrees.go:1411     | stval | [processTransactionsInLevels] Processing error for transaction d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb: PROCESSING (4): [blessMissingTransaction][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe/0000000000000000000000000000000000000000000000000000000000000000][d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb] failed to validate transaction -> PROCESSING (4): [Validate][d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb] error spending utxos -> PROCESSING (4): validator: UTXO Store spend and create failed for d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb -> UTXO_ERROR (79): error in sql spend (batched mode) - errors -> UTXO_FROZEN (72): [Spend] utxo is frozen for c6663f74f0398f5fa304853f35d9b1e6ebf5607eb9ba693738915ce2ca050671:0
2026-09-17T05:48:58Z | INFO  | check_block_subtrees.go:730      | stval | [CheckBlockSubtrees] called for block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe at height 107 DONE in 13.444919ms
2026-09-17T05:48:58Z | INFO  | BlockValidation.go:1622          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.13:8090/api/v1 DONE in 15.050413ms
2026-09-17T05:48:58Z | ERROR | blockvalidation/Server.go:2035   | bval  | [BlockProcessing] Worker 3 failed to process block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe: SERVICE_ERROR (59): failed block validation BlockFound [Block 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe (height: 107, id: 0, txCount: 2, size: 450)] -> ERROR (9): rpc error: code = Unknown desc = PROCESSING (4): [CheckBlockSubtreesRequest] Failed to process transactions in batch 1 -> PROCESSING (4): [processTransactionsInLevels] Completed processing with 1 errors (0 missing-parent) -> PROCESSING (4): [blessMissingTransaction][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe/0000000000000000000000000000000000000000000000000000000000000000][d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb] failed to validate transaction -> PROCESSING (4): [Validate][d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb] error spending utxos -> PROCESSING (4): validator: UTXO Store spend and create failed for d064bfbd9c7ed72a0fdd996c8c9cff761a6008d55f0ebb08a9dc54bdb71ca6eb -> UTXO_ERROR (79): error in sql spend (batched mode) - errors -> UTXO_FROZEN

# --- B mined 108 at 05:51:11; A's catch-up then re-fetched and re-validated 107 repeatedly (16 attempts in 75 s) ---
2026-09-17T05:51:21Z | INFO  | blockvalidation/catchup.go:178   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.12:8090/api/v1
2026-09-17T05:51:21Z | INFO  | catchup_get_block_headers.go:365 | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] iteration 1: received 3 headers from peer
