2026-09-17T05:18:10Z | DEBUG | model/update-tx-mined.go:345     | bval  | [UpdateTxMinedStatus][Block 0e57487a7e975a8ee0e18117cdbceb6b2398d5f95469fb9cc8cef25692c1206e (height: 827, id: 828, txCount: 3, size: 644)][e39699f4db36f24ad1a4bd270c42d826a9ae7cb107b40db4bba3ad3e83ea5331] for 2 remainder hashes
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:936            | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] new best block header: 827
2026-09-17T05:18:10Z | DEBUG | BlockAssembler.go:945            | blockassembly| [BlockAssembler] best block header according to blockchain: 827: 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b
2026-09-17T05:18:10Z | DEBUG | BlockAssembler.go:946            | blockassembly| [BlockAssembler] best block header according to block assembly : 827: 0e57487a7e975a8ee0e18117cdbceb6b2398d5f95469fb9cc8cef25692c1206e
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:2057           | blockassembly| [getReorgBlocks] called
2026-09-17T05:18:10Z | DEBUG | model/update-tx-mined.go:345     | bval  | [UpdateTxMinedStatus][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 0, txCount: 2, size: 452)][91acd4922b83c04684804ac827ad70aa837d5545a3264687daec2669bd475868] for 1 remainder hashes
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:2100           | blockassembly| [getReorgBlocks] called DONE in 9.952627ms
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:984            | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] best block header is not the same as the previous best block header, reorging: 0e57487a7e975a8ee0e18117cdbceb6b2398d5f95469fb9cc8cef25692c1206e
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:2057           | blockassembly| [getReorgBlocks] called
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:2100           | blockassembly| [getReorgBlocks] called DONE in 8.438557ms
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:1948           | blockassembly| [BlockAssembler] handling reorg, moveBackBlocks: 1, moveForwardBlocks: 1
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:872          | blockassembly| [SubtreeProcessor] reorgReq subtree processor: 1, 1
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:3429         | blockassembly| [SubtreeProcessor][reorgBlocks] starting reorg with 1 moveBackBlocks and 1 moveForwardBlocks
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4108         | blockassembly| [moveBackBlock][Block 0e57487a7e975a8ee0e18117cdbceb6b2398d5f95469fb9cc8cef25692c1206e (height: 827, id: 828, txCount: 3, size: 644)] with 1 subtrees
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4115         | blockassembly| [moveBackBlock][Block 0e57487a7e975a8ee0e18117cdbceb6b2398d5f95469fb9cc8cef25692c1206e (height: 827, id: 828, txCount: 3, size: 644)] with 1 subtrees DONE in 5.474311ms
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4926         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] with block
2026-09-17T05:18:10Z | DEBUG | SubtreeProcessor.go:4955         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] resetting subtrees: [91acd4922b83c04684804ac827ad70aa837d5545a3264687daec2669bd475868]
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4487         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processing subtrees into transaction map
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4506         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processing subtrees into transaction map DONE in 1.218283ms
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4754         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processing 1 remainder tx hashes into subtrees
2026-09-17T05:18:10Z | DEBUG | SubtreeProcessor.go:4768         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processRemainderTxHashes with 0 subtrees
2026-09-17T05:18:10Z | DEBUG | SubtreeProcessor.go:4774         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processRemainderTxHashes with 0 subtrees DONE in 25.345µs
2026-09-17T05:18:10Z | DEBUG | SubtreeProcessor.go:4779         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processing queue while moveForwardBlock: 0
2026-09-17T05:18:10Z | DEBUG | SubtreeProcessor.go:4787         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processing queue while moveForwardBlock DONE in 10.871µs
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4795         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] processing 1 remainder tx hashes into subtrees DONE in 83.018µs
2026-09-17T05:18:10Z | DEBUG | SubtreeProcessor.go:5026         | blockassembly| Memory after moveForwardBlock complete: Alloc=418 MB, TotalAlloc=2367 MB, Sys=766 MB, NumGC=21
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:4935         | blockassembly| [moveForwardBlock][Block 645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b (height: 827, id: 829, txCount: 2, size: 452)] with block DONE in 19.275249ms
2026-09-17T05:18:10Z | WARN  | BlockValidation.go:2455          | bval  | [ValidateBlock][540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c] storing block as invalid: BLOCK_INVALID (11): [validOrderAndBlessed] block at height 828 spends consensus-frozen output 32663f4ad765f2c140c023288dbfaecc98ece57e2324f3f5780ac3
2026-09-17T05:18:10Z | INFO  | BlockValidation.go:2822          | bval  | [ValidateBlock][540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c] publishing invalid block to Kafka in background
2026-09-17T05:18:10Z | ERROR | blockvalidation/catchup.go:1734  | bval  | [catchup:validateBlocksOnChannel][540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c] failed to validate block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c at position 2: BLOCK_INVALID (11): [ValidateBlock][Block 540213c8f
2026-09-17T05:18:10Z | WARN  | blockvalidation/catchup.go:1769  | bval  | [catchup:validateBlocksOnChannel][540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c] block 540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c violates consensus rules (already stored as invalid by ValidateBlockWithOptions)
2026-09-17T05:18:10Z | WARN  | peer_metrics_helpers.go:357      | bval  | [peer_metrics] Recording malicious attempt from peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL: invalid_block_validation
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:3901         | blockassembly| [SubtreeProcessor][reorgBlocks] starting reorg with 1 moveBackBlocks and 1 moveForwardBlocks DONE in 31.220073ms
2026-09-17T05:18:10Z | INFO  | SubtreeProcessor.go:876          | blockassembly| [SubtreeProcessor] reorgReq subtree processor DONE: 1, 1
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:1049           | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] setting best block header to height 827
2026-09-17T05:18:10Z | ERROR | blockvalidation/Server.go:2320   | bval  | [Init] failed to process catchup signal for block [540213c8f18012ed40d0657d49c01b75e43b136488d35df7ca3b91cca4f7662c] from peer 12D3KooWECRdxC5YXaDZG16gcewMneDJ97TVUfTXhUzgZwpyaZCL: BLOCK_INVALID (11): [ValidateBlock][Block 540213c8f18012ed40d0657d49c01b75e
2026-09-17T05:18:10Z | INFO  | BlockAssembler.go:1031           | blockassembly| [BlockAssembler][645078ff9dddad258e14f1af67e6fc6ad72e2fe120869a10a5de060c5d9e281b] new best block header: 827 DONE
